start_date,event_type,venue,latitude,longitude
2022-01-06T19:00-0800,music,Make-Out Room,37.7552647,-122.4193588
2022-01-06T20:00-0800,music,Club Deluxe,37.76976860000001,-122.4471395
2022-01-06T22:00-0800,music,Make-Out Room,37.7552647,-122.4193588
2022-01-06T19:00-0800,music,White Horse Bar,37.8518265,-122.2605589
2022-01-06T18:30-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-06T18:40-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-06T19:30-0800,music,Amado's,37.7570372,-122.4215521
2022-01-06T20:00-0800,music,Boom Boom Room,37.78460570000001,-122.4332024
2022-01-06T21:15-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-06T21:20-0800,film,Roxie Theater,37.7647103,-122.4224081
2021-12-04T10:00-0800,he-arts,1 Grant Ave,37.7870125,-122.4051806
2022-01-06T18:30-0800,music,Mr. Tipple's Recording Studio,,
2022-01-06T20:00-0800,he-arts,Gray Area,37.7544054,-122.4183493
2022-01-06T21:00-0800,j-parties,Cat Club,37.77541739999999,-122.409985
2022-01-06T10:00-0800,iety,Salesforce Park,,
2022-01-06T17:00-0800,he-arts,Museum of the African Diaspora (MOAD),37.786562,-122.401361
2022-01-06T19:00-0800,music,Black Cat,37.783838,-122.4144901
2022-01-06T19:00-0800,music,The Bistro,,
2022-01-06T19:00-0800,music,Gestalt Haus,37.7646135,-122.4233002
2022-01-06T17:00-0800,music,Smiley's Schooner Saloon,37.9101928,-122.6851436
2022-01-06T18:00-0800,music,Hopmonk Tavern - Novato ,38.088499,-122.5534335
2022-01-06T19:00-0800,film,Alamo Drafthouse Cinema,37.7562198,-122.419185
2022-01-06T17:30-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-06T17:30-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-06T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-06T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-06T17:30-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-06T18:00-0800,ports,Event Center at SJSU,37.3350794,-121.8807548
2022-01-06T19:00-0800,literature,Green Apple Books on the Park,,
2022-01-06T19:00-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-06T20:15-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-06T20:45-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-06T22:40-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-06T08:00-0800,iety,Salesforce Park,,
2022-01-06T10:30-0800,iety,Salesforce Park,,
2022-01-06T12:30-0800,iety,Salesforce Park,,
2022-01-06T19:00-0800,medy,Winters Tavern,,
2022-01-06T22:00-0800,music,The Valencia Room,,
2021-03-18T10:00-0700,he-arts,SVN West,37.7742162,-122.4195611
2021-11-18T10:00-0800,he-arts,Exploratorium,37.8016649,-122.397348
2022-01-07T19:30-0800,music,Davies Symphony Hall,37.7782755,-122.4198453
2022-01-07T12:00-0800,he-arts,Gray Area,37.7544054,-122.4183493
2022-01-07T21:00-0800,music,The Midway,37.7494472,-122.3860183
2021-12-01T16:00-0800,xperiences,Golden Gate Park,37.7690391540527,-122.483520507812
2022-01-07T21:45-0800,medy,Punch Line San Francisco,37.795486,-122.4001359
2022-01-07T20:00-0800,music,The Fillmore,37.7840042,-122.4331332
2022-01-07T19:00-0800,music,The Masonic,37.7911829,-122.412938
2022-01-07T22:00-0800,music,Temple,37.7879716,-122.3972152
2022-01-07T22:00-0800,music,1015 Folsom,37.7781117,-122.4058001
2022-01-07T21:00-0800,music,DNA Lounge,37.7711031,-122.4126145
2021-09-29T09:00-0700,utdoor-recreation,Japanese Tea Garden,37.7701915,-122.4701725
2022-01-07T21:00-0800,music,The Independent,37.7755362,-122.4376556
2022-01-07T20:30-0800,music,Smiley's Schooner Saloon,37.9101928,-122.6851436
2022-01-07T19:30-0800,music,SFJAZZ Center,37.7764466,-122.4215079
2022-01-07T20:00-0800,music,Bottom Of The Hill,37.7649597,-122.3964408
2022-01-07T21:00-0800,music,Hopmonk Tavern - Novato ,38.088499,-122.5534335
2022-01-07T20:00-0800,music,Brick & Mortar Music Hall,37.7697394,-122.4203797
2022-01-07T22:00-0800,music,Pure Night Club (Sunnyvale),37.37681680000001,-122.0298044
2022-01-07T19:30-0800,medy,San Jose Improv,37.3356047,-121.8883856
2022-01-07T21:45-0800,medy,San Jose Improv,37.3356047,-121.8883856
2022-01-07T19:30-0800,music,Palace of Fine Arts,37.8019913,-122.4486565
2022-01-07T20:00-0800,music,Cornerstone,37.8663423,-122.2671777
2022-01-07T19:00-0800,music,Make-Out Room,37.7552647,-122.4193588
2022-01-07T22:00-0800,music,Make-Out Room,37.7552647,-122.4193588
2022-01-07T20:00-0800,music,Club Deluxe,37.76976860000001,-122.4471395
2022-01-07T22:00-0800,igital-events,Oasis,37.7719465,-122.4144729
2022-01-07T19:00-0800,film,SFFILM,,
2022-01-07T19:00-0800,festival,Church Key San Francisco,,
2022-01-07T21:00-0800,music,Milk Bar,37.7695082,-122.4525845
2022-01-07T18:35-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-07T19:00-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-07T19:30-0800,music,Tupelo,37.7992702,-122.4075249
2022-01-07T20:30-0800,music,Mr. Tipple's Recording Studio,,
2022-01-07T21:15-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-07T21:20-0800,film,Roxie Theater,37.7647103,-122.4224081
2022-01-07T22:00-0800,music,HALCYON SF,37.771465,-122.4139198
2021-12-04T10:00-0800,he-arts,1 Grant Ave,37.7870125,-122.4051806
2022-01-07T11:00-0800,he-arts,Cartoon Art Museum,,
2022-01-07T19:00-0800,he-arts,PianoFight,37.7839092,-122.4106652
2022-01-07T19:00-0800,music,Amado's,37.7570372,-122.4215521
2022-01-07T20:00-0800,he-arts,PianoFight,37.7839092,-122.4106652
2022-01-07T20:00-0800,music,The Knockout,37.7451489,-122.4199626
2022-01-07T21:00-0800,he-arts,PianoFight,37.7839092,-122.4106652
2022-01-07T21:00-0800,he-arts,Gray Area,37.7544054,-122.4183493
2022-01-07T21:00-0800,j-parties,Cat Club,37.77541739999999,-122.409985
2022-01-07T22:00-0800,he-arts,PianoFight,37.7839092,-122.4106652
2022-01-07T22:00-0800,he-arts,PianoFight,37.7839092,-122.4106652
2022-01-07T23:00-0800,he-arts,PianoFight,37.7839092,-122.4106652
2022-01-07T10:00-0800,iety,Salesforce Park,,
2022-01-07T19:00-0800,music,Black Cat,37.783838,-122.4144901
2022-01-07T19:00-0800,music,LOVE + PROPAGANDA,37.7888105,-122.4065967
2022-01-07T14:15-0800,film,Alamo Drafthouse Cinema,37.7562198,-122.419185
2022-01-07T14:30-0800,film,Alamo Drafthouse Cinema,37.7562198,-122.419185
2022-01-07T15:15-0800,film,Alamo Drafthouse Cinema,37.7562198,-122.419185
2022-01-07T16:00-0800,music,Winters Tavern,,
2022-01-07T17:30-0800,film,Alamo Drafthouse Cinema,37.7562198,-122.419185
2022-01-07T18:00-0800,he-arts,San Jose Museum of Art,37.3336747,-121.8900389
2022-01-07T18:00-0800,music,Mr. Tipple's Recording Studio,,
2022-01-07T19:00-0800,music,SAP Center,37.3322405,-121.9016508
2022-01-07T20:00-0800,music,Felton Music Hall,,
2022-01-07T16:00-0800,igital-events,#DoStuffAtHome,,
2022-01-07T17:35-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-07T17:35-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-07T17:35-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-07T17:35-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-07T17:35-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-07T17:35-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-07T20:00-0800,music,Twin Oaks Roadhouse,,
2022-01-07T20:00-0800,music,Winters Tavern,,
2022-01-07T20:20-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-07T20:50-0800,film,West Wind Drive-In (Concord),37.9997262,-122.0497853
2022-01-07T22:00-0800,music,Hopmonk Tavern - Sebastopol,38.4011362,-122.8226923
2022-01-07T22:40-0800,film,West Wind Drive-In (San Jose),37.2802028,-121.8403819
2022-01-07T09:00-0800,lecture-education,The Breema Center,37.84854199999999,-122.2527377
2022-01-07T12:30-0800,iety,Salesforce Park,,
NULL,NULL,NULL,NULL,NULL
2022-01-07T21:00-0800,music,The Valencia Room,,
2021-03-18T10:00-0700,he-arts,SVN West,37.7742162,-122.4195611
2021-11-18T10:00-0800,he-arts,Exploratorium,37.8016649,-122.397348
2022-01-07T12:00-0800,he-arts,Gray Area,37.7544054,-122.4183493
2022-01-08T20:00-0800,music,The Warfield,37.7827039,-122.4103578
2021-12-01T16:00-0800,xperiences,Golden Gate Park,37.7690391540527,-122.483520507812
2022-01-08T21:45-0800,medy,Punch Line San Francisco,37.795486,-122.4001359
2022-01-08T21:00-0800,music,The Independent,37.7755362,-122.4376556
2022-01-08T18:00-0800,music,Fox Theater,37.8079974,-122.2700635
2022-01-08T19:30-0800,music,Davies Symphony Hall,37.7782755,-122.4198453
2022-01-08T21:00-0800,music,The Midway,37.7494472,-122.3860183
2022-01-08T21:00-0800,j-parties,Audio SF,37.771391,-122.413852
2022-01-08T19:30-0800,medy,August Hall,37.7875878,-122.4096056
2022-01-08T20:30-0800,music,The Chapel,37.760565,-122.421188
2022-01-08T21:00-0800,music,DNA Lounge,37.7711031,-122.4126145
2021-09-29T09:00-0700,utdoor-recreation,Japanese Tea Garden,37.7701915,-122.4701725
2022-01-08T11:00-0800,music,Freight & Salvage,37.8706997,-122.2695537
2022-01-08T22:00-0800,music,DNA Lounge,37.7711031,-122.4126145
2022-01-08T21:00-0800,music,Brick & Mortar Music Hall,37.7697394,-122.4203797
